Tag,Scope,Start,End,Difference,Percentage
total,0,0,0.5457000732421875,0.5457000732421875,100
m/FOO/1,1,0.2117767333984375,0.21185302734375,0.0000762939453125,0.01398093001146436
m/BAR/1,2,0.2118377685546875,0.2118377685546875,0,0
m/FOO/2,1,0.2119140625,0.21197509765625,0.00006103515625,0.01118474400917149
m/BAR/2,2,0.2119598388671875,0.21197509765625,0.0000152587890625,0.002796186002292873
m/FOO/3,1,0.2120361328125,0.21209716796875,0.00006103515625,0.01118474400917149
m/BAR/3,2,0.2120819091796875,0.2120819091796875,0,0
